geonameid	name	asciiname	alternatenames	latitude	longitude	feature class	feature code	country code	cc2	admin1 code	admin2 code	admin3 code	admin4 code	population	elevation	gtopo30	timezone	modification date
4045458	Leaky Lake	Leaky Lake		51.93611	177.38194	H	LK	US		AK	016			0		177	America/Adak	2010-01-30
4045459	Lass Lake	Lass Lake		51.98111	177.48583	H	LK	US		AK	016			0		55	America/Adak	2010-01-30
4045460	Lard Hill	Lard Hill		51.96111	177.375	T	MT	US		AK	016			0		264	America/Adak	2010-01-30
4045461	Lance Hill	Lance Hill		51.97056	177.48889	T	MT	US		AK	016			0		287	America/Adak	2010-01-30
4045462	Knob Hill	Knob Hill		51.94583	177.34389	T	MT	US		AK	016			0		205	America/Adak	2010-01-30
4045463	Khvostof Pass	Khvostof Pass		51.99028	178.23222	H	CHN	US		AK	016			0		-9999	America/Adak	2010-01-30
4045464	Khlebnikof Point	Khlebnikof Point		52.92333	173.29611	T	CAPE	US		AK	016			0		61	America/Adak	2010-01-30
4045465	Kennon Island	Kennon Island		52.94139	173.2525	T	ISL	US		AK	016			0		-9999	America/Adak	2010-01-30
4045466	Karab Cove	Karab Cove		52.39417	173.60833	H	BAY	US		AK	016			0		1	America/Nome	2010-01-30
4045467	Jarmin Pass	Jarmin Pass		52.88889	173.12917	T	GAP	US		AK	016			0		198	America/Adak	2010-01-30
4045468	Howard Hill	Howard Hill		51.92972	177.59056	T	MT	US		AK	016			0		36	America/Adak	2010-01-30
4045469	Hoosier Hill	Hoosier Hill		51.92778	177.54306	T	MT	US		AK	016			0		87	America/Adak	2010-01-30
4045470	Holtz Bay	Holtz Bay		52.94722	173.19194	H	BAY	US		AK	016			0		-9999	America/Adak	2010-01-30
4045471	Goose Hill	Goose Hill		51.92583	177.45556	T	MT	US		AK	016			0		-9999	America/Adak	2010-01-30
4045472	Good Creek	Good Creek		51.92306	177.37083	H	STM	US		AK	016			0		18	America/Adak	2010-01-30
4045473	Gland Hill	Gland Hill		51.92917	177.46667	T	MT	US		AK	016			0		1	America/Adak	2010-01-30
4045474	Gaudy Lake	Gaudy Lake		51.92833	177.45194	H	LK	US		AK	016			0		-9999	America/Adak	2010-01-30
4045475	Fur Mountain	Fur Mountain		51.92222	177.34778	T	MT	US		AK	016			0		147	America/Adak	2010-01-30
4045476	Fruit Hill	Fruit Hill		51.91889	177.35917	T	MT	US		AK	016			0		56	America/Adak	2010-01-30
4045477	Fox Hill	Fox Hill		51.92639	177.31528	T	MT	US		AK	016			0		105	America/Adak	2010-01-30
4045478	Fox Beach	Fox Beach		52.70944	174.15056	T	BCH	US		AK	016			0		1	America/Adak	2010-01-30
4045479	Fin Creek	Fin Creek		51.87583	177.23611	H	STM	US		AK	016			0		59	America/Adak	2010-01-30
4045480	Fawn Hill	Fawn Hill		51.875	177.25417	T	MT	US		AK	016			0		61	America/Adak	2010-01-30
4045481	Far Hill	Far Hill		51.90278	177.27222	T	MT	US		AK	016			0		206	America/Adak	2010-01-30
4045482	Fan Mountain	Fan Mountain		51.91528	177.27222	T	MT	US		AK	016			0		222	America/Adak	2010-01-30
4045483	Ethel Cove	Ethel Cove		51.93611	177.43333	H	BAY	US		AK	016			0		15	America/Adak	2010-01-30
4045484	Elwood Lake	Elwood Lake		52.8625	173.17778	H	LK	US		AK	016			0		14	America/Adak	2010-01-30
4045485	East Point	East Point		51.96806	178.57083	T	CAPE	US		AK	016			0		-9999	America/Adak	2011-12-12
4045486	East Massacre Valley	East Massacre Valley		52.85972	173.20833	T	VAL	US		AK	016			0		15	America/Adak	2010-01-30
4045487	Diehm Creek	Diehm Creek		52.91329	173.97818	H	STM	US		AK	016			0		-9999		2010-01-30
4045488	Dark Cove	Dark Cove		51.8775	177.22056	H	BAY	US		AK	016			0		1	America/Adak	2010-01-30
4045489	Crater Bay	Crater Bay		51.97333	178.31778	H	BAY	US		AK	016			0		-9999	America/Adak	2010-01-30
4045490	Constantine Point	Constantine Point		51.40028	179.34694	T	CAPE	US		AK	016			0		8	America/Adak	2010-01-30
4045491	Clam Point	Clam Point		51.40944	179.16194	T	CAPE	US		AK	016			0		-9999	America/Adak	2010-01-30
4045492	Chugul Point	Chugul Point		51.99889	178.09889	T	CAPE	US		AK	016			0		-9999	America/Adak	2010-01-30
4045493	Chirikof Beach	Chirikof Beach		52.84167	173.39722	T	BCH	US		AK	016			0		152	America/Adak	2010-01-30
4045494	Chichagof Point	Chichagof Point		52.94333	173.2425	T	CAPE	US		AK	016			0		-9999	America/Adak	2010-01-30
4045495	Brunette Cove	Brunette Cove		52.97667	172.94472	H	BAY	US		AK	016			0		-9999	America/Adak	2010-01-30
4045496	Bowers Bank	Bowers Bank		54.35	179.66667	T	BAR	US		AK	016			0		-9999		2010-01-30
